ticker,ev_sales,margins,beta,g
SRE,6.212000000000001,0.34581999999999996,0.650854,-0.044000000000000004
EBAY,4.739,0.55175,1.205184,0.52
DD,3.0469999999999997,-0.14468001,1.319911,0.261
DLR,15.077,0.09267,0.08438999999999999,-0.828
BIIB,3.4560000000000004,0.29756,0.436845,-0.7509999999999999
CDNS,15.149000000000001,0.22015,1.035852,-0.737
SYY,1.087,-0.00735,1.419746,-0.8240000000000001
PH,3.5589999999999997,0.10601,1.813568,1.188
EA,6.2,0.20794001,0.904026,-0.39
APH,5.053,0.13994999,1.268615,0.12
IQV,4.652,0.02456,1.404302,6.438
PSA,18.892,0.45306998,0.065637,-0.09
TT,3.486,0.06863999999999999,1.2327629999999998,-0.174
A,7.659,0.14647001,1.012686,0.462
TROW,6.46,0.38228,1.1831209999999999,0.43700000000000006
AIG,1.379,-0.13716,1.378378,
SNPS,10.302999999999999,0.18911,1.067843,0.56
STZ,5.93,0.23191999,,-0.039
MAR,27.695,-0.126,1.9189180000000001,
TRV,1.255,0.08432999,0.76503,0.501
MSCI,24.385,0.35498002,0.9233309999999999,0.272
CMI,2.057,0.09029999400000001,1.10535,0.67
BK,-6.095,0.23378000000000002,1.070601,-0.479
PRU,0.873,-0.006549999599999999,1.6817419999999998,-0.27399999999999997
WBA,0.615,-0.00433,0.477109,0.085
INFO,10.802,0.12364000000000001,0.9569770000000001,-0.6920000000000001
DXCM,19.523,0.25619000000000003,0.7512409999999999,2.832
APTV,3.0580000000000003,0.13807,2.157198,0.3
SPG,14.359000000000002,0.24165002,1.546607,-0.467
CNC,0.42100000000000004,0.01736,0.506343,
SLB,2.2,-0.44566002,2.4429119999999998,0.12300000000000001
LUV,3.948,-0.33973998,1.264202,
GIS,2.6510000000000002,0.13683,0.564258,0.312
XEL,5.202999999999999,0.1278,0.28792,-0.013999999999999999
ALL,0.8740000000000001,0.12449,0.8323219999999999,0.48
ORLY,3.701,0.15100001,1.076116,0.209
PPG,3.1,0.08327999999999999,1.1092110000000002,0.556
ZBH,6.183,-0.01977,1.3303909999999999,0.040999999999999995
CARR,2.657,0.11354000000000002,,1.0090000000000001
MNST,10.831,0.30652002,1.090457,0.85
CTVA,2.351,0.0479,,
HLT,27.526999999999997,-0.44687998,1.296745,
YUM,8.226,0.15994,1.018201,-0.32
IFF,7.812,0.071440004,0.9806940000000001,-0.191
GLW,3.867,0.045300003,1.190843,6.875
MPC,1.088,-0.14057999999999998,2.173193,-0.35700000000000004
ALXN,5.914,0.09941,1.27027,-0.397
PSX,0.8029999999999999,-0.061939999999999995,1.7142849999999998,
TDG,10.399000000000001,0.09376000599999999,1.6960830000000002,-0.836
AFL,1.778,0.21574000000000002,0.9900709999999999,0.21899999999999997
PCAR,2.088,0.06932999999999999,1.059018,-0.23600000000000002
ADM,0.6779999999999999,0.027530000000000002,0.873138,0.363
SWK,2.617,0.08489,1.453392,1.347
KMI,6.178,0.01017,1.137892,-0.005
AZO,3.0210000000000004,0.13978,0.9520129999999999,0.156
ANSS,19.312,0.25806999999999997,1.20353,0.3
XLNX,9.916,0.20337999,1.026475,0.055
WELL,9.908,0.21252,1.0319909999999999,-0.27
MSI,4.902,0.128,0.787644,0.695
SBAC,21.436,0.011569999,0.174296,0.5710000000000001
PEG,5.109,0.19837,0.5521229999999999,-0.013999999999999999
SWKS,7.672999999999999,0.26879000000000003,1.111417,0.981
DFS,6.749,0.19163,1.7843349999999998,0.129
CTAS,5.657,0.14315999999999998,1.504688,0.102
PXD,4.931,-0.028460000000000003,1.9685599999999999,
FRC,9.173,0.29106,1.0959729999999999,0.531
PAYX,8.888,0.26763000000000003,0.911748,-0.011000000000000001
DHI,1.676,0.12303001,1.644236,0.836
AME,7.0489999999999995,0.19216,1.348041,0.001
ROK,5.307,0.21029,1.38279,0.91
WLTW,3.823,0.1065,0.7815770000000001,-0.125
ES,5.492000000000001,0.13534000000000002,0.317153,0.08800000000000001
STT,-6.314,0.19965,,-0.18100000000000002
MCK,0.162,-0.01761,0.9045780000000001,
WEC,6.226,0.16569,0.168781,-0.02
VRSK,12.027999999999999,0.25594,0.7722,0.33299999999999996
DAL,4.114,-1.0296399999999999,1.506343,
RMD,9.996,0.22604000000000002,0.318257,0.11800000000000001
BLL,3.11,0.04966,0.393822,0.419
MTD,10.164,0.19537000000000002,0.987865,0.122
VLO,0.715,-0.023640001,2.185879,
FAST,5.152,0.15219000000000002,1.260893,0.039
WMB,6.984,0.027339999999999996,1.537231,
OTIS,2.819,0.07103,,0.151
AMP,2.206,0.12828,1.6872580000000001,-0.618
AWK,10.467,0.18771,0.19856500000000002,0.48
WY,4.582,0.10582000000000001,1.872035,
KR,0.353,0.01951,0.363485,
LEN,1.629,0.13161999,1.516822,1.5130000000000001
FTNT,12.270999999999999,0.18829,1.09487,0.24100000000000002
LYB,1.8530000000000002,0.051170003,1.572531,0.39799999999999996
DLTR,1.396,0.052600004000000006,0.878102,3.088
BBY,0.603,0.038039997,1.5769440000000001,0.095
CBRE,1.245,0.031560000000000005,1.5024819999999999,-0.508
ETSY,15.761,0.20239000000000001,1.590733,3.747
ZBRA,6.461,0.11331,1.627688,0.17800000000000002
FITB,6.153,0.2178,1.587975,-0.177
VFC,4.183,-0.01889,0.973992,-0.253
KEYS,6.31,0.14770001,0.950358,0.055
DTE,3.824,0.11234000000000001,0.629343,0.03
KHC,2.903,0.013590000000000001,1.136789,4.67
SIVB,2.8810000000000002,0.3225,2.051847,0.495
ED,4.158,0.08991,0.14616600000000002,-0.8540000000000001
AVB,14.75,0.35944,0.9619409999999999,1.035
AJG,4.5569999999999995,0.12072999999999999,0.6624369999999999,0.444
MXIM,10.507,0.30657,1.223938,0.259
CDW,1.58,0.0427,1.110314,0.284
LH,2.221,0.11132,1.0474350000000001,3.1319999999999997
CPRT,12.719000000000001,0.30916,1.002206,0.147
O,20.333,0.23945,0.716492,-0.08800000000000001
EQR,14.083,0.35525999999999996,0.805295,-0.127
FTV,5.603,0.34811002,1.229134,5.305
FLT,11.675,0.29479,1.44567,-0.109
CLX,3.537,0.16280999999999998,0.202426,0.4
ODFL,7.19,0.16754000000000002,1.0270270000000001,0.318
HIG,1.2309999999999999,0.084759995,1.107004,-0.02
HSY,4.544,0.15689999,0.341423,0.406
NUE,1.328,0.03582,1.430777,2.699
KSU,10.505,0.23714000000000002,1.0755649999999999,0.008
URI,3.9739999999999998,0.10434,2.109762,-0.121
EXPE,6.348,-0.50240004,1.786541,
OKE,4.332,0.07174,1.970215,-0.038
EIX,3.693,0.054429997,0.608383,2.678
VMC,5.316,0.120340005,0.578599,-0.188
TSN,0.884,0.04723,0.8372860000000001,-0.075
VIAC,1.736,0.095790006,1.729729,
WST,10.7,0.16125,0.953667,0.54
EFX,6.3260000000000005,0.12600999999999998,1.340319,2.657
CERN,4.269,0.14168,0.724214,-0.083
NTRS,3.783,0.20236999,1.096525,-0.35100000000000003
SYF,4.982,0.23667,1.8400439999999998,0.01
PPL,6.135,0.19311,0.781025,-0.203
IP,1.483,0.02342,1.047986,-0.073
ARE,17.46,0.40546,0.716492,1.181
MKC,4.955,0.13022,0.467181,0.11800000000000001
RSG,4.187,0.09526,0.6988409999999999,-0.18600000000000003
TER,6.606,0.25121,1.317153,0.57
QRVO,5.976,0.13008,1.418643,0.24600000000000002
CCL,63.193999999999996,0.0,2.359624,
MLM,5.596,0.16268,0.6442359999999999,0.397
CHD,4.8580000000000005,0.16052,0.393822,0.04
ETR,4.398,0.13727,0.522338,0.008
WDC,1.692,0.01023,1.627688,
TTWO,5.272,0.14961,0.600661,0.114
KMX,1.8219999999999998,0.03717,1.6729169999999998,-0.023
VTR,8.627,0.115559995,1.303364,8.652000000000001
OXY,3.904,-0.83278,2.527854,
AEE,5.985,0.15722,0.261445,0.223
VRSN,19.111,0.64415,0.798124,0.061
GRMN,6.015,0.23702998,1.061224,-0.076
TRMB,6.997999999999999,0.12387000000000001,1.539988,-0.354
TSCO,2.191,0.07052,1.0270270000000001,-0.057
